x,y,type,query_id,title,cosine_distance,color
-1.3498629,-1.6547129,query,1023605,"Inception-v4, Inception-ResNet and the Impact of Residual Connections on Learning",0.0,#1f77b4
-0.89595294,-2.1210892,neighbor,1023605,Deep Residual Learning for Image Recognition,0.035079240798950195,#1f77b4
-0.61572814,-0.6989851,neighbor,1023605,Resnet in Resnet: Generalizing Residual Architectures,0.053925931453704834,#1f77b4
-1.9939054,1.0484678,neighbor,1023605,Delving Deep into Rectifiers: Surpassing Human-Level Performance on ImageNet Classification,0.05463743209838867,#1f77b4
-1.8473693,2.5630648,neighbor,1023605,Fast and Accurate Deep Network Learning by Exponential Linear Units (ELUs),0.05596816539764404,#1f77b4
-1.0902696,-6.073379,neighbor,1023605,Very Deep Convolutional Networks for Large-Scale Image Recognition,0.05626720190048218,#1f77b4
-1.5140371,-7.7203064,neighbor,1023605,Rethinking the Inception Architecture for Computer Vision,0.0583270788192749,#1f77b4
-0.20174128,-5.6266255,neighbor,1023605,Going deeper with convolutions,0.05852055549621582,#1f77b4
1.3903649,-1.2223586,neighbor,1023605,How far can we go without convolution: Improving fully-connected networks,0.06118839979171753,#1f77b4
3.7938225,5.954392,neighbor,1023605,Training Deeper Convolutional Networks with Deep Supervision,0.06167030334472656,#1f77b4
-0.034834944,-3.8181148,neighbor,1023605,Striving for Simplicity: The All Convolutional Net,0.06362664699554443,#1f77b4
-0.7515129,4.25567,neighbor,1023605,Natural Neural Networks,0.06421548128128052,#1f77b4
-2.2150242,-6.290137,neighbor,1023605,Enhanced image classification with a fast-learning shallow convolutional neural network,0.06446999311447144,#1f77b4
4.1678987,3.7250423,neighbor,1023605,Training Very Deep Networks,0.06484806537628174,#1f77b4
-9.376998,-3.672431,neighbor,1023605,Visualizing and Understanding Convolutional Networks,0.06586199998855591,#1f77b4
-4.506999,-1.2192875,neighbor,1023605,Network In Network,0.0659719705581665,#1f77b4
-2.5356038,-7.079779,neighbor,1023605,Some Improvements on Deep Convolutional Neural Network Based Image Classification,0.0668216347694397,#1f77b4
-6.647387,12.176146,neighbor,1023605,Recurrent Neural Network Regularization,0.06790649890899658,#1f77b4
-5.761441,-1.8787433,neighbor,1023605,Deep Epitomic Convolutional Neural Networks,0.06820434331893921,#1f77b4
